Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Ryan Getzlaf,1,17,8,25,0,33,10,710,208,470,23,678,4,233,95,120,11,215
Shea Weber,1,45,12,15,3,27,10,685,146,246,20,392,4,190,26,65,18,91
Zack Fitzgerald,9,447,11,38,117,49,1,1,0,0,0,0,4,248,22,54,46,76
Brandon Dubinsky,1,71,21,22,8,43,9,545,112,207,38,319,4,234,82,148,25,230
Brett Bulmer,4,145,20,24,11,44,2,14,0,3,0,3,4,178,65,86,15,151
Dylan McIlrath,4,182,12,27,40,39,2,3,0,0,2,0,4,232,16,58,48,74
Jordan Krestanovich,4,258,44,80,1,124,2,22,0,2,0,2,4,226,66,97,0,163
Mike Funk,4,151,4,23,3,27,2,9,0,2,0,2,4,280,23,98,8,121
Brett Connolly,2,137,52,68,1,120,4,139,18,16,2,34,4,144,86,66,0,152
Kris Russell,1,14,3,5,0,8,8,511,34,124,8,158,4,241,76,120,6,196
Grant McNeill,7,124,5,3,63,8,1,3,0,0,1,0,4,260,11,21,61,32
Brodie Dupont,6,364,66,102,29,168,1,1,0,0,0,0,4,214,81,68,22,149
Ryan Russell,6,336,70,61,2,131,1,41,2,0,0,2,4,263,98,118,8,216
Mark Stone,2,91,30,49,0,79,3,103,30,42,0,72,4,232,106,190,4,296
Derek Boogaard,1,53,0,4,24,4,6,277,3,13,62,16,4,174,3,18,70,21
Tyler Ennis,1,69,23,42,0,65,6,345,89,123,1,212,4,245,115,121,2,236
Brandon Kozun,5,319,91,116,0,207,1,20,2,2,0,4,4,217,92,178,0,270
Brett Lysak,5,226,35,44,5,79,1,2,0,0,0,0,4,265,134,175,8,309
Dustin Kohn,5,212,11,50,5,61,1,22,0,4,0,4,4,253,20,111,3,131
Jesse Schultz,5,305,103,125,2,228,1,2,0,0,0,0,4,272,110,119,6,229
Layne Ulmer,5,311,65,87,0,152,1,1,0,0,0,0,4,261,161,154,5,315
Ryan Keller,5,284,102,98,2,200,1,6,0,0,0,0,4,257,120,117,4,237
Scott Glennie,5,230,46,72,1,118,1,1,0,0,0,0,4,252,121,187,8,308
Brody Sutter,4,141,24,35,5,59,1,4,0,0,0,0,4,231,57,68,9,125
Owen Fussey,4,137,9,18,4,27,1,4,0,1,0,1,4,237,106,73,3,179
Ross Lupaschuk,4,278,49,73,27,122,1,3,0,0,0,0,4,267,63,104,30,167
Ty Rattie,2,131,52,38,1,90,2,13,0,2,0,2,4,207,103,135,1,238
Tyler Wotherspoon,2,109,3,30,0,33,2,15,0,4,0,4,4,178,10,35,4,45
Dave Morisset,3,122,15,16,6,31,1,4,0,0,1,0,4,196,65,72,16,137
Duncan Siemens,3,103,1,9,8,10,1,1,0,0,0,0,4,188,14,78,19,92
Mike Card,3,92,2,13,1,15,1,4,0,0,0,0,4,269,35,112,4,147
Patrick Holland,3,147,16,31,0,47,1,5,0,0,0,0,4,203,63,144,5,207
Brendan Gallagher,1,36,10,10,3,20,3,207,58,58,4,116,4,244,136,144,11,280
Colin Smith,2,129,20,45,0,65,1,1,0,0,0,0,4,200,61,104,4,165
Shay Stephenson,2,61,11,10,0,21,1,2,0,0,0,0,4,230,38,48,7,86
Colton Orr,5,106,2,4,42,6,11,477,12,12,123,24,5,164,19,9,54,28
Jason Jaffray,13,560,179,270,24,449,4,49,4,7,5,11,5,277,107,128,18,235
Brandon Segal,10,593,159,158,38,317,5,103,11,11,9,22,5,286,110,96,21,206
Derek Meech,8,377,36,129,0,165,6,144,4,13,1,17,5,263,27,70,4,97
Mike Wilson,8,290,22,49,14,71,6,201,10,24,5,34,5,175,19,79,1,98
Garth Murray,9,482,61,87,82,148,5,116,8,2,19,10,5,266,78,77,62,155
Frazer McLaren,8,245,13,18,67,31,5,102,4,7,36,11,5,318,56,47,68,103
Johnny Boychuk,5,294,45,108,20,153,8,393,28,82,10,110,5,266,38,95,21,133
Kyle Chipchura,5,186,41,63,14,104,8,412,27,65,43,92,5,216,59,106,15,165
Mark Fistric,5,182,4,40,4,44,8,325,4,30,12,34,5,214,11,47,21,58
Deryk Engelland,6,339,14,42,63,56,6,319,15,43,45,58,5,243,14,34,60,48
Brett Carson,7,321,25,102,0,127,5,90,2,11,0,13,5,268,28,82,1,110
Cam Barker,4,93,19,28,7,47,8,310,21,75,11,96,5,213,51,128,11,179
Dana Tyrell,6,232,47,71,2,118,5,135,7,17,0,24,5,240,81,98,6,179
Nathan Paetsch,6,382,41,139,9,180,5,167,7,35,4,42,5,258,48,164,13,212
Ryan Hollweg,6,202,18,22,29,40,5,228,5,9,27,14,5,233,94,139,16,233
Drayson Bowman,5,248,70,73,7,143,6,179,15,18,1,33,5,263,129,112,13,241
Eric Fehr,3,120,50,51,2,101,10,454,89,88,0,177,5,279,146,131,3,277
Ben Ondrus,7,394,65,72,36,137,4,52,0,2,10,2,5,316,94,113,18,207
Erik Christensen,4,75,40,35,0,75,7,387,68,95,0,163,5,338,133,153,0,286
Blake Comeau,3,111,20,61,4,81,9,483,88,107,4,195,5,253,60,117,13,177
Troy Brouwer,3,146,78,63,11,141,9,531,132,123,25,255,5,287,103,116,15,219
Nick Drazenovic,8,469,121,194,4,315,3,12,0,0,0,0,5,281,77,137,3,214
Kenndal McArdle,6,250,47,44,20,91,4,42,1,2,7,3,5,261,92,111,23,203
Matt Keith,6,422,104,100,5,204,4,27,2,3,0,5,5,203,76,78,8,154
Jarret Stoll,2,152,42,66,0,108,12,792,140,239,0,379,5,245,124,162,0,286
Zach Hamill,7,349,66,126,1,192,3,20,0,4,0,4,5,250,87,175,1,262
Triston Grant,10,633,73,80,139,153,2,11,0,1,3,1,5,291,52,35,99,87
Ben Maxwell,5,301,68,140,1,208,4,47,2,6,1,8,5,210,64,95,5,159
Colton Sceviour,5,348,99,141,8,240,4,99,17,22,1,39,5,251,78,114,10,192
Dwight King,4,202,50,74,9,124,5,238,37,43,2,80,5,273,79,110,9,189
Paul Postma,4,215,47,89,0,136,5,100,7,11,0,18,5,270,44,117,0,161
Braydon Coburn,2,88,7,30,7,37,10,618,37,131,10,168,5,238,29,102,18,131
Kyle Brodziak,2,117,36,51,1,87,10,621,98,130,12,228,5,273,81,104,16,185
Shawn Belle,6,362,19,65,10,84,3,20,0,1,0,1,5,253,30,87,6,117
Cody Franson,3,158,24,71,1,95,6,400,35,134,0,169,5,199,34,85,5,119
Matt Fraser,4,181,90,41,5,131,4,87,11,6,3,17,5,265,87,87,37,174
Stefan Elliott,4,199,43,52,0,95,4,63,6,12,0,18,5,282,82,159,2,241
Carter Ashton,5,192,56,47,9,103,3,54,0,3,4,3,5,239,92,89,16,181
Thomas Hickey,5,212,14,61,2,75,3,202,7,41,0,48,5,262,39,137,4,176
Stefan Meyer,7,381,86,79,29,165,2,20,0,2,3,2,5,282,123,123,16,246
Karl Alzner,2,104,7,34,0,41,7,427,12,71,1,83,5,260,19,98,2,117
Carsen Germyn,6,404,100,165,30,265,2,4,0,0,0,0,5,324,116,167,22,283
Alex Petrovic,4,144,9,42,11,51,3,46,0,4,4,4,5,270,29,117,22,146
Alex Plante,4,212,6,37,35,43,3,10,0,2,1,2,5,224,18,71,16,89
Ryan Stanton,4,224,9,51,14,60,3,119,4,23,3,27,5,242,19,83,15,102
Cody Eakin,3,82,27,26,0,53,4,237,46,61,1,107,5,238,118,121,6,239
James Wright,3,196,33,64,9,97,4,146,4,8,6,12,5,202,45,69,5,114
Lance Bouma,3,95,16,11,8,27,4,199,22,31,7,53,5,230,39,76,18,115
Tyson Barrie,3,93,12,52,1,64,4,186,27,77,0,104,5,255,51,177,4,228
Landon Ferraro,5,270,75,65,10,140,2,7,1,0,0,1,5,220,76,76,17,152
Ray Macias,5,178,18,47,0,65,2,8,0,1,0,1,5,280,66,118,0,184
Brayden McNabb,3,159,20,82,6,102,3,108,3,29,5,32,5,258,50,126,24,176
Mark Pysyk,3,142,8,39,0,47,3,70,4,11,0,15,5,243,25,100,5,125
Craig Cunningham,4,247,75,69,1,144,2,53,3,4,0,7,5,330,103,161,7,264
Cam Paddock,7,284,37,37,21,74,1,16,2,1,0,3,5,323,107,98,27,205
Carter Bancks,6,281,21,45,21,66,1,2,0,0,0,0,5,262,58,120,15,178
Jared Aulin,6,236,55,116,0,171,1,17,2,2,0,4,5,230,88,168,6,256
John Negrin,6,177,7,26,3,33,1,3,0,1,0,1,5,235,13,104,5,117
Linden Vey,3,191,55,103,0,158,2,93,10,19,0,29,5,262,102,178,1,280
Quinton Howden,3,149,26,49,0,75,2,34,4,2,0,6,5,244,111,128,0,239
Duncan Milroy,5,344,72,110,1,182,1,5,0,1,0,1,5,264,132,155,2,287
Wade Skolney,5,310,6,33,45,39,1,1,0,0,0,0,5,172,10,44,19,54
Jared Cowen,1,3,0,3,0,3,5,212,15,27,8,42,5,239,37,82,12,119
Jared Spurgeon,1,23,2,7,0,9,5,295,26,75,0,101,5,264,37,132,1,169
Curtis Hamilton,4,208,30,38,3,68,1,1,0,0,0,0,5,216,67,106,1,173
Kris Foucault,4,157,30,35,1,65,1,1,0,0,0,0,5,195,56,55,5,111
Brendan Shinnimin,3,190,47,61,6,108,1,12,0,1,0,1,5,266,131,206,9,337
Colten Teubert,3,167,10,27,12,37,1,24,0,1,1,1,5,263,32,81,29,113
Doug Lynch,3,161,12,29,12,41,1,2,0,0,0,0,5,266,55,87,40,142
Joe Morrow,3,155,14,46,2,60,1,15,1,0,0,1,5,227,33,118,14,151
Matt Konan,3,74,2,6,0,8,1,2,0,0,0,0,5,301,19,88,17,107
Brendan Ranford,2,138,30,54,0,84,1,1,0,0,0,0,5,278,115,155,6,270
Ryan Craig,9,500,125,152,32,277,8,198,32,31,14,63,6,302,137,131,15,268
Aaron Rome,7,260,31,83,17,114,8,226,6,22,9,28,6,304,31,124,27,155
Warren Peters,12,635,119,104,29,223,4,96,4,4,4,8,6,330,111,107,15,218
Nathan Smith,9,471,89,123,22,212,5,26,0,0,2,0,6,240,76,137,16,213
Aaron Gagnon,6,328,74,98,0,172,4,38,3,2,0,5,6,318,123,121,2,244
Brett Festerling,5,241,9,51,6,60,4,88,0,8,1,8,6,314,15,54,1,69
Victor Bartley,4,148,18,49,1,67,3,111,1,22,3,23,6,336,36,132,15,168
